날짜,총자산,조정자산
2026-08-14,9876700.239736158,10084794.455736158
2026-08-18,9881936.05423616,10090030.27023616
2026-08-19,9881936.05423616,10090030.27023616
2026-08-20,9881936.05423616,10090030.27023616
2026-08-21,9881936.05423616,10090030.27023616
2026-08-24,9881936.05423616,10090030.27023616
2026-08-25,9881936.05423616,10090030.27023616
2026-08-26,9881936.05423616,10090030.27023616
2026-08-27,9792284.833940702,10081129.2913407
2026-08-28,9801714.219980702,10086514.8783807
2026-08-31,9811179.3522207,10095040.0106207
2026-09-01,9812008.612440702,10095769.2708407
2026-09-02,9633541.131784083,10096613.278850084
2026-09-03,9646063.407884084,10103859.098950084
2026-09-04,9668545.447664086,10111770.515730085
