id,날짜,종목명,구분,수량,단가,통화,환율,실현손익,메모,정산반영
70ccbbd1,2026-08-14,삼아알미늄,매수,1,53000.0,원,1.0,,최초 세팅,True
7e3d1ee2,2026-08-14,서흥,매수,3,25000.0,원,1.0,,최초 세팅,True
204cf651,2026-08-14,성광벤드,매수,3,26050.0,원,1.0,,최초 세팅,True
b4627c4c,2026-08-14,CJ제일제당,매수,1,185200.0,원,1.0,,최초 세팅,True
3812d8ab,2026-08-14,레드와이어,매수,40,13.15,USD,1414.89,,최초 세팅,True
d807ff88,2026-08-18,유한양행,매수,1,82000.0,원,1.0,,일일매매일지,True
235eb144,2026-08-18,사조대림,매수,2,30150.0,원,1.0,,일일매매일지,True
e4a0cdd2,2026-08-18,삼아알미늄,매도,1,59500.0,원,1.0,6500.0,일일매매일지,True
54a5b992,2026-08-18,서흥,매수,1,24200.0,원,1.0,,일일매매일지,True
80343904,2026-08-18,한국단자,매수,1,60200.0,원,1.0,,일일매매일지,True
72d4b7ff,2026-08-18,신세계인터내셔날,매수,7,10690.0,원,1.0,,일일매매일지,True
af29d52a,2026-08-18,JYP Ent.,매수,2,40025.0,원,1.0,,일일매매일지,True
c484ecc6,2026-08-18,영원무역,매수,1,81300.0,원,1.0,,일일매매일지,True
a9573f0d,2026-08-18,한국콜마,매수,1,126600.0,원,1.0,,일일매매일지,True
883a6474,2026-08-18,종근당,매수,1,67300.0,원,1.0,,일일매매일지,True
e9795669,2026-08-18,심텍,매수,1,108800.0,원,1.0,,일일매매일지,True
f5a099b1,2026-08-18,실리콘투,매수,1,41500.0,원,1.0,,일일매매일지,True
50aa9439,2026-08-18,레드와이어,매수,22,13.74,USD,1414.9,,나스닥 잔고 스냅샷 역산 반영(40->62주),True
c2b01b87,2026-08-19,서흥,매수,1,23550.0,원,1.0,,일일매매일지,True
18be366b,2026-08-19,한샘,매수,1,39000.0,원,1.0,,일일매매일지,True
85fbe6db,2026-08-19,성광벤드,매수,1,24050.0,원,1.0,,일일매매일지,True
7db16212,2026-08-19,노바렉스,매수,2,11340.0,원,1.0,,일일매매일지,True
c86940ee,2026-08-19,오리온,매수,1,123100.0,원,1.0,,일일매매일지,True
83197c46,2026-08-20,서흥,매수,1,23400.0,원,1.0,,일일매매일지,True
721b0a9e,2026-08-20,한국단자,매수,1,55800.0,원,1.0,,일일매매일지,True
4e3893b5,2026-08-20,신세계인터내셔날,매수,2,10265.0,원,1.0,,일일매매일지,True
15c9b1df,2026-08-20,영원무역,매수,1,76300.0,원,1.0,,일일매매일지,True
9c8ef17c,2026-08-20,노바렉스,매수,2,11190.0,원,1.0,,일일매매일지,True
42b43951,2026-08-21,서흥,매수,1,22400.0,원,1.0,,일일매매일지,True
c59961dd,2026-08-21,성광벤드,매수,1,22750.0,원,1.0,,일일매매일지,True
b07a1253,2026-08-21,신세계인터내셔날,매수,1,10160.0,원,1.0,,일일매매일지,True
c170e151,2026-08-21,실리콘투,매도,1,47650.0,원,1.0,6150.0,일일매매일지,True
a6dfb8da,2026-08-21,코오롱티슈진,매수,3,20500.0,원,1.0,,일일매매일지,True
bd193526,2026-08-24,한국가구,매수,5,4815.0,원,1.0,,일일매매일지,True
b75406be,2026-08-24,한국콜마,매도,1,140200.0,원,1.0,13600.0,일일매매일지,True
a0e37e2d,2026-08-24,오스테오닉,매수,10,4215.0,원,1.0,,일일매매일지,True
737eb406,2026-08-25,서흥,매수,3,21933.0,원,1.0,,일일매매일지,True
5ac999e5,2026-08-25,와이지-원,매수,5,13980.0,원,1.0,,일일매매일지,True
2578097d,2026-08-25,아스테라시스,매수,8,5240.0,원,1.0,,일일매매일지,True
83f59e46,2026-08-25,코오롱티슈진,매수,2,19615.0,원,1.0,,일일매매일지,True
bc9a9d2a,2026-08-26,서흥,매수,1,22800.0,원,1.0,,일일매매일지,True
05995a85,2026-08-26,삼성중공업,매수,2,20300.0,원,1.0,,일일매매일지,True
b44b57fa,2026-08-26,계룡건설,매수,2,22300.0,원,1.0,,일일매매일지,True
5c260eb3,2026-08-26,성광벤드,매도,3,29800.0,원,1.0,14430.0,일일매매일지,True
6275c825,2026-08-26,한국단자,매수,1,56200.0,원,1.0,,일일매매일지,True
a3afefa1,2026-08-26,신세계인터내셔날,매수,1,10380.0,원,1.0,,일일매매일지,True
cfab146a,2026-08-26,미스토홀딩스,매수,2,41850.0,원,1.0,,일일매매일지,True
c97070a1,2026-08-26,영원무역,매수,1,76700.0,원,1.0,,일일매매일지,True
06027895,2026-08-26,이마트,매수,1,74300.0,원,1.0,,일일매매일지,True
57c30cc4,2026-08-26,코오롱티슈진,매수,2,18745.0,원,1.0,,일일매매일지,True
